GA,Test
Total Runs,Success Rate,Average Tries,Search Agents,Iterations,Average Time to Find Solution,Average Time Elapsed Per WOA (~Avg Total/Tries)
200,0.0,10.0,10,20,0.4016526031494141,0.040242910385131836
200,0.0,10.0,20,10,0.39589494705200196,0.03730018138885498
300,0.0,10.0,10,30,0.6047902488708496,0.05944373607635498
300,0.0,10.0,30,10,0.565205249786377,0.05590276718139649
400,0.0,10.0,20,20,0.7838849258422852,0.07380366325378418
400,0.0,10.0,40,10,0.7658228778839111,0.07519984245300293
400,0.04,9.72,10,40,0.7800312995910644,0.07704446315765381
500,0.0,10.0,10,50,1.0052580547332763,0.09684598445892334
500,0.0,10.0,50,10,0.959322738647461,0.09350268840789795
600,0.0,10.0,10,60,1.2055258083343505,0.12427272796630859
600,0.0,10.0,20,30,1.171151237487793,0.11165204048156738
600,0.0,10.0,30,20,1.1288224983215331,0.11120357513427734
600,0.0,10.0,60,10,1.1544461154937744,0.11329922676086426
700,0.0,10.0,10,70,1.4146810054779053,0.14167628288269044
700,0.0,10.0,70,10,1.371387758255005,0.13349463939666747
800,0.0,10.0,10,80,1.6204916954040527,0.16685819625854492
800,0.0,10.0,20,40,1.551011848449707,0.14890406131744385
800,0.0,10.0,80,10,1.5774752330780029,0.15324313640594484
800,0.04,9.88,40,20,1.4930838203430177,0.14685986042022706
900,0.0,10.0,90,10,1.8033516216278076,0.175831937789917
900,0.04,9.72,10,90,1.772639226913452,0.1817678689956665
900,0.04,9.96,30,30,1.6850654125213622,0.16521728038787842
1000,0.0,10.0,20,50,1.9454665851593018,0.18656082153320314
1000,0.0,10.0,50,20,1.9308434677124025,0.18650226593017577
1000,0.0,10.0,100,10,2.022353458404541,0.19807350635528564
1000,0.04,9.92,10,100,1.970909957885742,0.19577741622924805
1100,0.0,10.0,10,110,2.1875638866424563,0.21458001136779786
1100,0.0,10.0,110,10,2.2803267574310304,0.21981329917907716
1200,0.0,10.0,10,120,2.3857467460632322,0.23263044357299806
1200,0.0,10.0,20,60,2.3273481845855715,0.22166080474853517
1200,0.0,10.0,40,30,2.2772590923309326,0.2213111162185669
1200,0.0,10.0,120,10,2.529798803329468,0.2437995195388794
1200,0.08,9.88,30,40,2.218778123855591,0.22141101360321044
1200,0.08,9.88,60,20,2.2624384689331056,0.2255100965499878
1300,0.0,10.0,10,130,2.668602819442749,0.2517833948135376
1300,0.0,10.0,130,10,2.767765636444092,0.26719090938568113
1400,0.0,10.0,10,140,2.81854811668396,0.26923480033874514
1400,0.0,10.0,20,70,2.7321030426025392,0.2581674575805664
1400,0.0,10.0,70,20,2.7297512912750244,0.2658426284790039
1400,0.0,10.0,140,10,3.0089824771881104,0.2921259880065918
1500,0.0,10.0,10,150,3.017150583267212,0.2899865865707397
1500,0.0,10.0,150,10,3.257209997177124,0.3167069435119629
1500,0.08,9.36,30,50,2.630117959976196,0.27626814842224123
1500,0.16,8.96,50,30,2.542259483337402,0.2775629997253418
1600,0.0,10.0,10,160,3.218829383850098,0.30887815952301023
1600,0.0,10.0,160,10,3.5714043807983398,0.3412930011749268
1600,0.04,9.76,80,20,3.0590563869476317,0.2792562246322632
1600,0.04,9.96,40,40,3.0084401035308836,0.29461534023284913
1600,0.12,9.76,20,80,3.010854959487915,0.2952194929122925
1700,0.0,10.0,170,10,3.771694736480713,0.3681701898574829
1700,0.04,9.72,10,170,3.3617201709747313,0.3285256862640381
1800,0.0,10.0,30,60,3.4230197048187256,0.33102614879608155
1800,0.0,10.0,90,20,3.5933049583435057,0.3493227481842041
1800,0.0,10.0,180,10,4.067944459915161,0.3945502042770386
1800,0.04,9.76,20,90,3.376565475463867,0.33146841526031495
1800,0.04,9.88,60,30,3.377664785385132,0.3387991189956665
1800,0.12,9.32,10,180,3.388666114807129,0.3476264238357544
1900,0.0,10.0,190,10,4.333286027908326,0.42208564281463623
1900,0.04,9.84,10,190,3.760468559265137,0.36767170429229734
2000,0.0,10.0,200,10,4.638082723617554,0.44886026382446287
2000,0.04,9.92,20,100,3.8646214771270753,0.3681710004806519
2000,0.04,9.96,10,200,4.071771535873413,0.40064594745635984
2000,0.08,9.36,50,40,3.55921817779541,0.3716122150421143
